time_s,ch1,ch2,ch3
0.57592,-2.220446049250313e-16,-1.1102230246251565e-16,0.0
0.57594,-1.6653345369377348e-16,-1.6653345369377348e-16,-3.3306690738754696e-16
0.57596,1.5265566588595902e-16,8.326672684688674e-17,2.220446049250313e-16
0.57598,1.1102230246251565e-16,6.938893903907228e-17,1.1102230246251565e-16
0.576,-2.220446049250313e-16,-2.1510571102112408e-16,-5.273559366969494e-16
0.57602,-5.551115123125783e-17,-1.6653345369377348e-16,0.0
0.57604,1.1102230246251565e-16,2.7755575615628914e-17,2.220446049250313e-16
0.57606,1.3877787807814457e-16,1.942890293094024e-16,2.220446049250313e-16
0.57608,-4.440892098500626e-16,-1.7867651802561113e-16,-5.551115123125783e-16
0.5761,0.0,0.0,3.3306690738754696e-16
0.57612,1.1102230246251565e-16,0.0,2.220446049250313e-16
0.57614,1.1102230246251565e-16,1.457167719820518e-16,0.0
0.57616,2.220446049250313e-16,2.220446049250313e-16,3.885780586188048e-16
0.57618,-2.220446049250313e-16,-2.7755575615628914e-16,-5.551115123125783e-16
